Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived
1,female,18.0,0,2,110413,79.65,E68,S,1
1,female,15.0,0,1,24160,211.3375,B5,S,1
1,male,25.0,0,0,PC 17572,76.7292,D49,C,1
1,male,36.0,0,1,PC 17755,512.3292,B51 B53 B55,C,1
1,male,56.0,0,0,13213,35.5,A26,C,1
1,female,18.0,0,2,110413,79.65,E68,S,1
1,female,15.0,0,1,24160,211.3375,B5,S,1
1,male,25.0,0,0,PC 17572,76.7292,D49,C,1
1,male,36.0,0,1,PC 17755,512.3292,B51 B53 B55,C,1
1,male,56.0,0,0,13213,35.5,A26,C,1
1,female,18.0,0,2,110413,79.65,E68,S,1
1,female,15.0,0,1,24160,211.3375,B5,S,1
1,male,25.0,0,0,PC 17572,76.7292,D49,C,1
1,male,36.0,0,1,PC 17755,512.3292,B51 B53 B55,C,1
1,male,56.0,0,0,13213,35.5,A26,C,1
1,female,18.0,0,2,110413,79.65,E68,S,1
1,female,15.0,0,1,24160,211.3375,B5,S,1
1,male,25.0,0,0,PC 17572,76.7292,D49,C,1
1,male,36.0,0,1,PC 17755,512.3292,B51 B53 B55,C,1
1,male,56.0,0,0,13213,35.5,A26,C,1
1,female,18.0,0,2,110413,79.65,E68,S,1
1,female,15.0,0,1,24160,211.3375,B5,S,1
1,male,25.0,0,0,PC 17572,76.7292,D49,C,1
1,male,36.0,0,1,PC 17755,512.3292,B51 B53 B55,C,1
1,male,56.0,0,0,13213,35.5,A26,C,1
1,female,18.0,0,2,110413,79.65,E68,S,1
1,female,15.0,0,1,24160,211.3375,B5,S,1
1,male,27.0,0,0,PC 17572,76.7292,D49,C,1
1,male,36.0,0,1,PC 17755,512.3292,B51 B53 B55,C,1
1,male,46.0,0,0,13213,35.5,A26,C,1
1,female,18.0,0,2,110413,79.65,E68,S,1
1,female,15.0,0,1,24160,211.3375,B5,S,1
1,male,27.0,0,0,PC 17572,76.7292,D49,C,1
1,male,36.0,0,1,PC 17755,512.3292,B51 B53 B55,C,1
1,male,46.0,0,0,13213,35.5,A26,C,1
1,female,18.0,0,2,110413,79.65,E68,S,1
1,female,15.0,0,1,24160,211.3375,B5,S,1
1,male,27.0,0,0,PC 17572,76.7292,D49,C,1
1,male,36.0,0,1,PC 17755,512.3292,B51 B53 B55,C,1
1,male,46.0,0,0,13213,35.5,A26,C,1
1,female,18.0,0,2,110413,79.65,E68,S,1
1,female,15.0,0,1,24160,211.3375,B5,S,1
1,male,27.0,0,0,PC 17572,76.7292,D49,C,1
1,male,36.0,0,1,PC 17755,512.3292,B51 B53 B55,C,1
1,male,46.0,0,0,13213,35.5,A26,C,1
1,female,18.0,0,2,110413,79.65,E68,S,1
1,female,15.0,0,1,24160,211.3375,B5,S,1
1,male,27.0,0,0,PC 17572,76.7292,D49,C,1
1,male,36.0,0,1,PC 17755,512.3292,B51 B53 B55,C,1
